dataset,variant,seed,dcr,pairwise_correlation_diff
adult,paft_fd_prior,42,0.455,0.4828269117550218
adult,paft_fd_prior,43,0.496,0.4855899498310596
adult,paft_fd_prior,44,0.409,0.4497288801925805
adult,paft_fd_prior,45,0.408,0.46011424615529867
adult,paft_fd_prior,46,0.436,0.48362644271356003
anxiety,paft_fd_prior,42,0.351,0.6408111171652698
anxiety,paft_fd_prior,43,0.521,0.624997259300664
anxiety,paft_fd_prior,44,0.558,0.6516341794030615
anxiety,paft_fd_prior,45,0.446,0.6138226702205597
anxiety,paft_fd_prior,46,0.472,0.572169889512417
compas,paft_fd_prior,42,0.655,0.5496655497545779
compas,paft_fd_prior,43,0.580,0.589621423965339
compas,paft_fd_prior,44,0.569,0.5818144136716489
compas,paft_fd_prior,45,0.665,0.6136092161619033
compas,paft_fd_prior,46,0.638,0.5870669072331514
churn,paft_fd_prior,42,0.577,0.640060516159995
churn,paft_fd_prior,43,0.459,0.6511052432985904
churn,paft_fd_prior,44,0.442,0.6689055519263128
churn,paft_fd_prior,45,0.592,0.6203805668290493
churn,paft_fd_prior,46,0.361,0.6925198128524845
obesity_reg,paft_fd_prior,42,0.549,0.6046159163671031
obesity_reg,paft_fd_prior,43,0.557,0.5949203301911223
obesity_reg,paft_fd_prior,44,0.573,0.5924384827893636
obesity_reg,paft_fd_prior,45,0.586,0.6139879069449293
obesity_reg,paft_fd_prior,46,0.529,0.6119284791049505
salary,paft_fd_prior,42,0.551,0.5173256324318474
salary,paft_fd_prior,43,0.486,0.5489284401525815
salary,paft_fd_prior,44,0.549,0.5786340809101428
salary,paft_fd_prior,45,0.556,0.558318269352328
salary,paft_fd_prior,46,0.541,0.51420128625643
