age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
38, Private,172345, HS-grad,9,Couple, Machine-op-inspct, Husband, White, Male,No gains,No losses,40,US,<=50K
29, Private,65421, Some-college,10,Single, Adm-clerical, Not-in-family, White, Female,No gains,No losses,35,US,<=50K
34, Private,98723, Bachelors,13,Couple, Prof-specialty, Wife, White, Female,No gains,No losses,45,US,>50K
42, Private,245000, HS-grad,9,Single, Craft-repair, Not-in-family, Black, Male,No gains,No losses,50,US,<=50K
52, Local-gov,32000, Assoc-acdm,12,Single, Exec-managerial, Unmarried, White, Female,No gains,Had losses,40,US,>50K
19, Private,189000, 9th,5,Single, Other-service, Own-child, White, Male,No gains,No losses,20,US,<=50K
45, Self-emp-inc,150000, Prof-school,15,Couple, Prof-specialty, Husband, Asian-Pac-Islander, Male,Had gains,No losses,60,Non-US,>50K
63, Private,78000, 7th-8th,4,Single, Handlers-cleaners, Not-in-family, White, Female,No gains,No losses,30,US,<=50K
39, Private,210000, Some-college,10,Couple, Sales, Husband, White, Male,No gains,No losses,48,US,<=50K
24, State-gov,55000, Bachelors,13,Single, Adm-clerical, Own-child, White, Female,No gains,No losses,20,US,<=50K
37, Private,295000, Masters,14,Couple, Exec-managerial, Wife, White, Female,No gains,No losses,50,US,>50K
31, Private,123000, Assoc-voc,11,Single, Machine-op-inspct, Unmarried, Black, Male,No gains,No losses,40,US,<=50K
44, Private,180000, 11th,7,Couple, Transport-moving, Husband, White, Male,Had gains,No losses,55,US,>50K
48, Private,90000, HS-grad,9,Single, Handlers-cleaners, Not-in-family, White, Female,No gains,No losses,35,US,<=50K
17, Private,42000, 10th,6,Single, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,No gains,No losses,15,US,<=50K
53, Self-emp-not-inc,310000, Some-college,10,Couple, Exec-managerial, Husband, White, Male,No gains,No losses,45,US,>50K
27, Private,140000, Bachelors,13,Single, Sales, Not-in-family, Black, Female,No gains,No losses,38,US,<=50K
41, Private,225000, Prof-school,15,Couple, Prof-specialty, Wife, White, Female,Had gains,No losses,50,US,>50K
33, Private,87000, HS-grad,9,Single, Craft-repair, Unmarried, White, Male,No gains,Had losses,40,US,<=50K
49, Federal-gov,175000, Masters,14,Couple, Prof-specialty, Husband, Asian-Pac-Islander, Male,No gains,No losses,42,Non-US,>50K
34, Private,182345, HS-grad,9,Couple, Craft-repair, Husband, White, Male,No gains,No losses,45,US,<=50K
