Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of Use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn
1,No,16,0,800,15,2,5,youngest,Pay as you go,Non-Active,85.0,No
2,No,20,0,1100,20,5,8,younger,Pay as you go,Non-Active,130.0,No
8,No,35,1,5102,82,71,28,middle-aged,Pay as you go,Active,489.32,No
2,No,29,0,1280,18,14,7,younger,Pay as you go,Non-Active,120.75,Yes
12,No,38,2,7600,110,95,40,older,Pay as you go,Active,732.1,No
6,No,32,1,3300,55,42,20,middle-aged,Pay as you go,Active,310.45,No
1,Yes,24,0,920,15,8,4,youngest,Pay as you go,Non-Active,85.3,Yes
10,No,40,2,6800,95,80,35,middle-aged,Contractual,Active,655.8,No
4,No,31,0,2400,40,30,16,younger,Pay as you go,Non-Active,225.6,Yes
14,No,42,3,9100,130,110,50,older,Pay as you go,Active,890.25,No
0,No,22,0,480,8,5,3,younger,Pay as you go,Non-Active,45.2,Yes
9,No,36,1,5900,88,65,32,middle-aged,Pay as you go,Active,572.9,No
3,Yes,27,0,1750,30,22,11,older,Pay as you go,Non-Active,163.18,Yes
7,No,34,1,4300,68,55,24,younger,Pay as you go,Active,415.5,No
16,No,44,3,10000,145,130,55,middle-aged,Contractual,Active,980.7,No
1,No,20,0,800,12,6,4,youngest,Pay as you go,Non-Active,75.9,Yes
5,No,33,1,3600,60,48,22,older,Pay as you go,Active,340.0,No
9,No,37,1,5700,90,70,30,middle-aged,Pay as you go,Active,550.3,No
4,Yes,26,0,2100,35,25,14,younger,Pay as you go,Non-Active,200.45,Yes
13,No,39,2,8000,120,100,45,middle-aged,Pay as you go,Active,780.6,No
0,No,23,0,650,10,3,2,older,Pay as you go,Non-Active,60.1,Yes
7,No,35,1,4400,72,60,26,middle-aged,Pay as you go,Active,420.8,No
6,No,36,1,5000,80,20,30,middle-aged,Pay as you go,Active,350.0,No
12,No,40,2,9000,120,50,45,younger,Pay as you go,Active,800.0,No
1,No,25,0,1200,20,5,8,older,Pay as you go,Non-Active,100.0,Yes
8,Yes,30,0,3000,50,15,20,middle-aged,Pay as you go,Non-Active,250.0,Yes
14,No,38,1,7000,100,80,35,younger,Contractual,Active,600.0,No
0,No,20,0,500,8,2,4,oldest,Pay as you go,Non-Active,45.0,Yes
10,No,35,2,6000,90,30,40,middle-aged,Pay as you go,Active,500.0,No
18,No,42,3,10000,130,100,50,younger,Contractual,Active,900.0,No
4,Yes,28,0,2500,40,12,15,younger,Pay as you go,Non-Active,200.0,Yes
16,No,37,2,8000,110,60,42,middle-aged,Pay as you go,Active,700.0,No
2,No,18,0,400,10,1,3,older,Pay as you go,Non-Active,30.0,Yes
7,No,33,1,4500,70,25,25,younger,Pay as you go,Active,400.0,No
20,No,45,3,12000,150,120,55,middle-aged,Contractual,Active,1000.0,No
3,No,22,0,800,15,3,6,youngest,Pay as you go,Active,75.0,No
9,No,32,1,6500,95,40,38,older,Pay as you go,Non-Active,550.0,No
5,Yes,26,0,3800,60,18,22,younger,Pay as you go,Non-Active,320.0,Yes
11,No,39,2,7500,105,70,44,middle-aged,Contractual,Active,680.0,No
1,No,24,0,1500,25,6,10,older,Pay as you go,Active,120.0,No
15,No,41,3,9500,125,90,48,younger,Pay as you go,Active,850.0,No
4,No,29,0,3200,55,14,18,middle-aged,Pay as you go,Non-Active,270.0,Yes
3,No,30,0,800,14,16,7,older,Pay as you go,Non-Active,60.0,Yes
3,No,31,0,1000,17,18,8,older,Pay as you go,Non-Active,80.0,Yes
8,No,34,0,3200,55,25,18,middle-aged,Pay as you go,Active,350.0,No
12,Yes,28,0,1800,30,8,10,younger,Pay as you go,Non-Active,150.25,Yes
6,No,40,2,8200,110,90,45,older,Pay as you go,Active,780.6,No
3,No,31,0,1050,15,12,7,middle-aged,Pay as you go,Active,95.8,No
10,No,36,1,4900,75,40,30,youngest,Contractual,Active,520.3,No
15,Yes,26,1,2200,42,18,14,older,Pay as you go,Non-Active,245.7,Yes
5,No,37,0,5600,85,55,28,middle-aged,Pay as you go,Active,410.5,No
9,No,22,0,400,8,3,4,younger,Pay as you go,Non-Active,30.0,Yes
7,No,39,2,7100,95,120,40,younger,Contractual,Active,625.4,No
11,No,32,0,2300,35,20,16,middle-aged,Pay as you go,Active,180.9,No
