dataset,seed,n_samples,synthetic_data_path,metrics_path,line_count,train_size,task_type,accuracy,f1,precision,recall,auc_roc,mae,mse,rmse,r2
adult,42,100,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json,101,200,classification,0.8017570031493453,0.5989268947015426,0.6033783783783784,0.5945406125166445,0.8492958406667958,,,,
adult,42,1000,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json,1001,1100,classification,0.7879993369799436,0.5971653543307086,0.56664674237896,0.6311584553928096,0.8418663293347413,,,,
adult,42,200,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json,201,300,classification,0.7982761478534726,0.6016366612111292,0.5917578879587895,0.6118508655126498,0.8489830817792858,,,,
adult,42,500,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json,501,600,classification,0.7954583126139566,0.6097406704617331,0.5807228915662651,0.6418109187749668,0.8429628589086398,,,,
adult,43,100,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json,101,200,classification,0.8059008785015747,0.5991098938719617,0.616631430584919,0.5825565912117177,0.8318662000287412,,,,
adult,43,1000,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json,1001,1100,classification,0.7908171722194597,0.6028949024543738,0.5715990453460621,0.6378162450066578,0.839554690707395,,,,
adult,43,200,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json,201,300,classification,0.8049063484170396,0.615485135576609,0.6042334830019244,0.6271637816245007,0.8421150229767945,,,,
adult,43,500,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json,501,600,classification,0.7956240676280457,0.5942744323790721,0.5875081327260898,0.6011984021304927,0.8396477763335343,,,,
adult,44,100,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json,101,200,classification,0.8161776893751036,0.5775238095238096,0.6749777382012466,0.5046604527296937,0.8496940443713539,,,,
adult,44,1000,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json,1001,1100,classification,0.79678435272667,0.602979274611399,0.5870113493064313,0.6198402130492676,0.8423442472495293,,,,
adult,44,200,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/synthetic_data.csv,results/adult/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n200/metrics.json,201,300,classification,0.8115365489806067,0.5884907709011944,0.6447264076130056,0.5412782956058588,0.8454290769814455,,,,
