dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
adult,paft_anon_headers,42,0.804,0.50579098758579,0.7704293054864909,0.3713118474807081,0.5834522111269614,0.27230359520639147,0.7755950941303598
adult,paft_anon_headers,43,0.694,0.5227057379416302,0.7704293054864909,0.6158113730929264,0.5278174037089871,0.7390146471371505,0.8415433582120035
adult,paft_anon_headers,44,0.785,0.5155436246434447,0.7783855461627714,0.3325012481278083,0.6646706586826348,0.22170439414114515,0.7834486703669734
adult,paft_anon_headers,45,0.691,0.5194838735995595,0.7800430963036632,0.5977568960290998,0.5486922648859209,0.6564580559254327,0.8245257335103259
adult,paft_anon_headers,46,0.782,0.5128276580313579,0.7755677109232554,0.2767094017094017,0.7,0.17243675099866845,0.8140424699679468
adult,paft_anon_headers,47,0.763,0.5462411604124451,0.7722526106414719,0.23920265780730898,0.7105263157894737,0.14380825565912117,0.8353826620049895
adult,paft_anon_headers,48,0.8,0.5336793002926212,0.7634675948947456,0.15110053539559787,0.7094972067039106,0.08455392809587217,0.7711898738120379
adult,paft_anon_headers,49,0.734,0.5118894874967099,0.7865075418531411,0.36426456071076013,0.7041984732824428,0.24567243675099867,0.8240675788421293
adult,paft_anon_headers,50,0.81,0.4924624087704713,0.7636333499088347,0.43946540880503143,0.536468330134357,0.37217043941411454,0.7941760724536784
adult,paft_anon_headers,51,0.769,0.5448051220679145,0.7951268025857782,0.4224299065420561,0.7084639498432602,0.3009320905459387,0.8187349553203688
