dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
adult,paft_full,42,0.82,0.5120119653825552,0.7916459472899056,0.4090267983074753,0.696,0.28961384820239683,0.8132741278383769
adult,paft_full,43,0.755,0.5026091243448543,0.7528592739930383,0.5743648301455895,0.5027486256871564,0.6697736351531292,0.8091194378950629
adult,paft_full,44,0.793,0.4843326915092956,0.7336316923586939,0.5724926842245278,0.4767390341160833,0.7163781624500666,0.7907517410024331
adult,paft_full,45,0.684,0.521850688695952,0.7792143212332173,0.44080604534005036,0.5965909090909091,0.34953395472703064,0.795888201444642
adult,paft_full,46,0.765,0.5100209007072022,0.7308138571191779,0.2883435582822086,0.4217948717948718,0.21904127829560585,0.7461452118135138
adult,paft_full,47,0.733,0.559807238679242,0.7936350074589756,0.4328018223234624,0.6854256854256854,0.3162450066577896,0.8258666955058231
adult,paft_full,48,0.799,0.542006690564204,0.762970329852478,0.2417815482502651,0.59375,0.151797603195739,0.7685368232630898
adult,paft_full,49,0.751,0.5182201179984551,0.7730813857119178,0.30330788804071246,0.6436285097192225,0.19840213049267644,0.7601366352991861
adult,paft_full,50,0.786,0.48469898743773265,0.7742416708105421,0.2861635220125786,0.6724137931034483,0.18175765645805592,0.7698828546415417
adult,paft_full,51,0.749,0.5306641763635935,0.7896568871208354,0.3890226287915262,0.7026086956521739,0.26897470039946736,0.7904603616865146
