dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
anxiety,paft_anon_headers,42,0.631,0.41321657686780533,0.5504545454545454,0.5504545454545454,0.5504545454545454,0.5504545454545454,0.7211203968657077
anxiety,paft_anon_headers,43,0.625,0.4422818560325448,0.5513636363636364,0.5513636363636364,0.5513636363636364,0.5513636363636364,0.7131105015542955
anxiety,paft_anon_headers,44,0.557,0.4348260982210021,0.5418181818181819,0.5418181818181819,0.5418181818181819,0.5418181818181819,0.7147589413807206
anxiety,paft_anon_headers,45,0.626,0.4390606365863296,0.58,0.58,0.58,0.58,0.7529257400330297
anxiety,paft_anon_headers,46,0.622,0.4550996504038741,0.7413636363636363,0.7413636363636363,0.7413636363636363,0.7413636363636363,0.8663688710476153
anxiety,paft_anon_headers,47,0.615,0.4574134772883002,0.5127272727272727,0.5127272727272727,0.5127272727272727,0.5127272727272727,0.6973900172277067
anxiety,paft_anon_headers,48,0.651,0.43969307735503327,0.5168181818181818,0.5168181818181818,0.5168181818181818,0.5168181818181818,0.6834433167193156
anxiety,paft_anon_headers,49,0.601,0.4226291958868292,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.5568181818181818,0.7264263392496751
anxiety,paft_anon_headers,50,0.546,0.4242208909839286,0.5577272727272727,0.5577272727272727,0.5577272727272727,0.5577272727272727,0.7186083588966601
anxiety,paft_anon_headers,51,0.621,0.42284893285411695,0.5522727272727272,0.5522727272727272,0.5522727272727272,0.5522727272727272,0.7099181827656947
