dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
anxiety,paft_full,42,0.593,0.42404310742253565,0.5422727272727272,0.5422727272727272,0.5422727272727272,0.5422727272727272,0.7137523300509455
anxiety,paft_full,43,0.585,0.4060891084067929,0.5168181818181818,0.5168181818181818,0.5168181818181818,0.5168181818181818,0.7019721619885967
anxiety,paft_full,44,0.599,0.4402819337512023,0.5145454545454545,0.5145454545454545,0.5145454545454545,0.5145454545454545,0.7084399213619843
anxiety,paft_full,45,0.624,0.4142905879822559,0.5718181818181818,0.5718181818181818,0.5718181818181818,0.5718181818181818,0.7379839056705442
anxiety,paft_full,46,0.642,0.45676302572192606,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.5636363636363636,0.7388000138436605
anxiety,paft_full,47,0.63,0.47461507306033013,0.5595454545454546,0.5595454545454546,0.5595454545454546,0.5595454545454546,0.7320642502663292
anxiety,paft_full,48,0.653,0.4008436080156392,0.575,0.575,0.575,0.575,0.7310659480056391
anxiety,paft_full,49,0.624,0.4217131511591723,0.53,0.53,0.53,0.53,0.700558739620417
anxiety,paft_full,50,0.525,0.41877032708642964,0.5540909090909091,0.5540909090909091,0.5540909090909091,0.5540909090909091,0.7298744558937194
anxiety,paft_full,51,0.601,0.43899625629743466,0.5495454545454546,0.5495454545454546,0.5495454545454546,0.5495454545454546,0.7229726336568669
