dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
churn,paft_anon_headers,42,0.665,0.5528653771295067,0.9031746031746032,0.6432748538011696,0.7638888888888888,0.5555555555555556,0.913884608799863
churn,paft_anon_headers,43,0.7,0.5534979582633679,0.8507936507936508,0.5104166666666666,0.5268817204301075,0.494949494949495,0.8378226711560044
churn,paft_anon_headers,44,0.638,0.5739508584741271,0.8555555555555555,0.5081081081081081,0.5465116279069767,0.47474747474747475,0.8869295592459434
churn,paft_anon_headers,45,0.614,0.5672079594387437,0.8984126984126984,0.6235294117647059,0.7464788732394366,0.5353535353535354,0.9085392531720216
churn,paft_anon_headers,46,0.622,0.5474724259734263,0.8952380952380953,0.6526315789473685,0.6813186813186813,0.6262626262626263,0.9138941201088093
churn,paft_anon_headers,47,0.622,0.5750500489677807,0.8952380952380953,0.5769230769230769,0.7894736842105263,0.45454545454545453,0.9432269968993133
churn,paft_anon_headers,48,0.609,0.5586402055394838,0.8666666666666667,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.8862827902375925
churn,paft_anon_headers,49,0.656,0.5545717963747412,0.8476190476190476,0.5051546391752577,0.5157894736842106,0.494949494949495,0.7847971237801746
churn,paft_anon_headers,50,0.558,0.5582657893440898,0.861904761904762,0.5492227979274611,0.5638297872340425,0.5353535353535354,0.8982765508189238
churn,paft_anon_headers,51,0.583,0.5516596916805558,0.9222222222222223,0.7379679144385026,0.7840909090909091,0.696969696969697,0.9360935151895603
