dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
churn,paft_full,42,0.607,0.5387538795540119,0.8555555555555555,0.4129032258064516,0.5714285714285714,0.32323232323232326,0.8831155243584623
churn,paft_full,43,0.697,0.5539455889172787,0.8857142857142857,0.5263157894736842,0.7547169811320755,0.40404040404040403,0.8947763891266718
churn,paft_full,44,0.692,0.5435999581702006,0.846031746031746,0.4049079754601227,0.515625,0.3333333333333333,0.8691148775894539
churn,paft_full,45,0.619,0.5270940643856122,0.9,0.6181818181818182,0.7727272727272727,0.5151515151515151,0.8815176244554777
churn,paft_full,46,0.657,0.558523255645513,0.8936507936507937,0.6256983240223464,0.7,0.5656565656565656,0.8966501169891001
churn,paft_full,47,0.598,0.5976583012988607,0.8793650793650793,0.6041666666666666,0.6236559139784946,0.5858585858585859,0.9342768551808098
churn,paft_full,48,0.563,0.5356546510567904,0.8587301587301587,0.47337278106508873,0.5714285714285714,0.40404040404040403,0.8941961992809451
churn,paft_full,49,0.6,0.5326395501315135,0.8920634920634921,0.6222222222222222,0.691358024691358,0.5656565656565656,0.9037075082272823
churn,paft_full,50,0.581,0.5655476876505245,0.9,0.5827814569536424,0.8461538461538461,0.4444444444444444,0.9065894348380225
churn,paft_full,51,0.618,0.5189993110337279,0.9126984126984127,0.6451612903225806,0.8928571428571429,0.5050505050505051,0.9242329129334779
