dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
compas,paft_anon_headers,42,0.702,0.5339675711046389,0.6041666666666666,0.6274509803921569,0.5632,0.7082494969818913,0.6319383204414322
compas,paft_anon_headers,43,0.736,0.5529839812294389,0.6259469696969697,0.587251828631139,0.6108695652173913,0.5653923541247485,0.6726134985224406
compas,paft_anon_headers,44,0.738,0.5452318965710846,0.5909090909090909,0.49056603773584906,0.5925925925925926,0.41851106639839036,0.5998657418572257
compas,paft_anon_headers,45,0.714,0.5241743605443059,0.6429924242424242,0.6109391124871001,0.6271186440677966,0.5955734406438632,0.6696655784438295
compas,paft_anon_headers,46,0.755,0.5378644638594152,0.6003787878787878,0.5821782178217821,0.5730994152046783,0.5915492957746479,0.6424306122963181
compas,paft_anon_headers,47,0.737,0.5364538055518755,0.6524621212121212,0.6419512195121951,0.6231060606060606,0.6619718309859155,0.6952304164881956
compas,paft_anon_headers,48,0.846,0.6518677772955431,0.5492424242424242,0.5824561403508772,0.5163297045101088,0.6680080482897385,0.5780964858920967
compas,paft_anon_headers,49,0.672,0.5654270817303952,0.6079545454545454,0.5801217038539553,0.5848670756646217,0.5754527162977867,0.6519906559212161
compas,paft_anon_headers,50,0.845,0.5345162758341014,0.5672348484848485,0.5937777777777777,0.5318471337579618,0.6720321931589537,0.6118283943374019
compas,paft_anon_headers,51,0.751,0.5517036796714968,0.5880681818181818,0.5805207328833173,0.5574074074074075,0.6056338028169014,0.63948809133873
