dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
compas,paft_full,42,0.689,0.5416522198005367,0.5426136363636364,0.5315227934044617,0.5131086142322098,0.5513078470824949,0.5915240998765401
compas,paft_full,43,0.712,0.5793732942769472,0.6070075757575758,0.5854145854145855,0.5813492063492064,0.5895372233400402,0.6550933508024893
compas,paft_full,44,0.735,0.549204943427374,0.5113636363636364,0.39294117647058824,0.4730878186968839,0.33601609657947684,0.4885970563992182
compas,paft_full,45,0.743,0.5383298209453368,0.6117424242424242,0.6252285191956124,0.5728643216080402,0.6881287726358148,0.667430342340267
compas,paft_full,46,0.769,0.4472872507639163,0.6126893939393939,0.6071085494716618,0.5808823529411765,0.635814889336016,0.6536823805084533
compas,paft_full,47,0.747,0.5403755340574278,0.5321969696969697,0.45353982300884954,0.5036855036855037,0.4124748490945674,0.5463910475374609
compas,paft_full,48,0.852,0.5826036528742485,0.5558712121212122,0.5015940488841658,0.5315315315315315,0.47484909456740443,0.5768780842478844
compas,paft_full,49,0.714,0.5563461936734357,0.5625,0.5342741935483871,0.5353535353535354,0.5331991951710262,0.6032617889807539
compas,paft_full,50,0.807,0.6000017688744912,0.540719696969697,0.5349952061361457,0.510989010989011,0.5613682092555332,0.5705485147018066
compas,paft_full,51,0.763,0.4509148061128557,0.6221590909090909,0.5873836608066184,0.6042553191489362,0.5714285714285714,0.6533980268012367
