dataset,variant,shot,n_samples,num_seeds,dcr_mean,dcr_std,pairwise_correlation_diff_mean,pairwise_correlation_diff_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_roc_mean,auc_roc_std,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
adult,paft_anon_headers,100,1000,10,0.7632,0.041140734072206385,0.5205429360841944,0.01610264758869733,0.7755842864246644,0.009395970312716809,0.3810553835700699,0.139218312929763,0.6393786814157949,0.07593145388063982,0.3209054593874833,0.20434512352632794,0.8082706468620813,0.02399204931279185,,,,,,,,
adult,paft_full,100,1000,10,0.7634999999999998,0.03677023252578095,0.5166222581683086,0.022492863372260877,0.7681750372948782,0.021665797248545303,0.3938111325718396,0.11069111330161334,0.5991700124589551,0.09520570113625576,0.33615179760319575,0.1880540850208156,0.7870062090390184,0.024124486295474912,,,,,,,,
adult,paft_graph_orders,100,1000,5,0.7387999999999999,0.04962015719443057,0.503036714096522,0.010706518317655503,0.7780208851317753,0.014403490798701016,0.5441339518718563,0.05850616193999737,0.5658203281006939,0.039334027246275625,0.5504660452729693,0.14356108857507813,0.8169997422696318,0.018607230631113855,,,,,,,,
anxiety,paft_anon_headers,100,1000,10,0.6095,0.03142689930616763,0.4351290392479764,0.013744652613350115,0.5661363636363635,0.06130813988801915,0.5661363636363635,0.06130813988801915,0.5661363636363635,0.06130813988801915,0.5661363636363635,0.06130813988801915,0.7304070665740421,0.048470144984760925,,,,,,,,
anxiety,paft_full,100,1000,10,0.6076,0.03456645773000179,0.4296406178903719,0.02188834636719756,0.5477272727272726,0.02039891424756078,0.5477272727272726,0.02039891424756078,0.5477272727272726,0.02039891424756078,0.5477272727272726,0.02039891424756078,0.7217484360358702,0.013770505488914345,,,,,,,,
anxiety,paft_graph_orders,100,1000,5,0.5955999999999999,0.044134340371189434,0.43081031610415693,0.010440238208455431,0.6920909090909092,0.039002648776336316,0.6920909090909092,0.039002648776336316,0.6920909090909092,0.039002648776336316,0.6920909090909092,0.039002648776336316,0.8386360506452512,0.02376196646263929,,,,,,,,
churn,paft_anon_headers,100,1000,10,0.6267,0.038696382259844384,0.5593182111185824,0.00906884177199596,0.8796825396825397,0.02475172766034389,0.5882986623509894,0.07212895487768303,0.6494021221761356,0.10840068271224004,0.5444444444444445,0.07004742807105378,0.8909747189408206,0.04507238328655951,,,,,,,,
churn,paft_full,100,1000,10,0.6232,0.04267036442309815,0.5472416247844033,0.021646029921386402,0.8823809523809525,0.020931326602930102,0.5515711550174623,0.08655320742476752,0.6939951324397333,0.11808298459027206,0.46464646464646464,0.09180256781819607,0.8988177442979703,0.018595946582306167,,,,,,,,
churn,paft_graph_orders,100,1000,5,0.6514,0.045213272387651854,0.5429146305739873,0.012961199455643719,0.8828571428571429,0.021043572595779752,0.6032940027610575,0.04126110243088943,0.6929205935975937,0.16174014354173707,0.5676767676767677,0.08952937295418319,0.8848808232989024,0.02624552638095683,,,,,,,,
compas,paft_anon_headers,100,1000,10,0.7495999999999999,0.0533464150623076,0.5534190893392295,0.03468025003735652,0.602935606060606,0.030238004332160145,0.587721375144615,0.03834383196499363,0.5780437599028619,0.03519674780812778,0.6062374245472836,0.07735914822441348,0.6393147795538885,0.03382420730729364,,,,,,,,
compas,paft_full,100,1000,10,0.7531,0.04564088079781109,0.5386089484806569,0.04882172118158844,0.5698863636363637,0.0379279983369969,0.5354002556341075,0.06824217904718397,0.5407107214536034,0.040048662180771,0.5354124748490945,0.09854000212848114,0.600680469219611,0.05484493958619022,,,,,,,,
compas,paft_graph_orders,100,1000,5,0.7408,0.033234921393016745,0.5562880189816066,0.026858986092568638,0.5655303030303032,0.029085384576443125,0.5324743685322606,0.04612841575993751,0.5390134586478367,0.031069734469673257,0.5299798792756538,0.07058446459173091,0.5867980692743222,0.030842744141906884,,,,,,,,
obesity_reg,paft_anon_headers,100,1000,10,0.5892999999999999,0.07023396614174654,0.5692731847408191,0.014154755795505245,,,,,,,,,,,16.32312232403192,0.8170488580073711,434.49001757235794,47.302954527328936,20.813770259572244,1.1300376781788903,0.35680981869981404,0.07347152052099357
obesity_reg,paft_full,100,1000,10,0.5708,0.06867867208966698,0.5700351876658598,0.013738767118992778,,,,,,,,,,,16.382083060470688,0.8734216795692092,431.8588114667608,45.476116407399275,20.752282612554858,1.0961650584715938,0.3601431032364613,0.0754083451904762
obesity_reg,paft_graph_orders,100,1000,5,0.5731999999999999,0.07654645648232188,0.5764161964283971,0.010247712317982787,,,,,,,,,,,16.293309144839686,0.988439643972029,433.6183281143868,56.18001244540561,20.779667569659846,1.3504605913589813,0.3608935807721533,0.09867130324358689
salary,paft_anon_headers,100,1000,10,0.6217,0.03480531568596959,0.6347392707281893,0.012361595214250745,,,,,,,,,,,33.064458925554916,1.882436942528804,2044.6162776506585,223.87015741291717,45.14870288838168,2.492168763806819,0.43589769066801376,0.06825611242689385
salary,paft_full,100,1000,10,0.6028,0.023072927859289986,0.6222021461634027,0.008670665147732183,,,,,,,,,,,32.83183875220744,2.558459125861472,2006.5138877644763,251.25318028711382,44.71087198618308,2.7298010915861264,0.447602639167649,0.06488959641192807
salary,paft_graph_orders,100,1000,5,0.5984,0.03456935058689994,0.6306896417388481,0.013402044593966945,,,,,,,,,,,36.403465099843345,2.5956830610763424,2322.017530110936,251.44988676031107,48.11487855772081,2.6412102314497607,0.358243343782396,0.07286437196541418
