dataset,variant,seed,dcr,pairwise_correlation_diff,mae,mse,rmse,r2
salary,paft_anon_headers,42,0.588,0.6202302747559877,32.049019241841634,1978.9337965145328,44.485208738574364,0.45740864252089086
salary,paft_anon_headers,43,0.553,0.620827211154263,35.584908875071214,2341.8965994737864,48.39314620350475,0.33025945243353527
salary,paft_anon_headers,44,0.669,0.637739915453686,30.400424208424887,1733.2956660103785,41.63286761694873,0.5244840872663942
salary,paft_anon_headers,45,0.658,0.6391601628597063,33.560694800364175,2208.2788258927703,46.992327308750845,0.39446314250668313
salary,paft_anon_headers,46,0.601,0.6516402849994914,36.463996869049076,2320.1708739965825,48.16815207163943,0.3676796616113326
salary,paft_anon_headers,47,0.617,0.641491935319483,31.78860624028524,1891.0146575651434,43.48579834342637,0.5061133000744547
salary,paft_anon_headers,48,0.657,0.6406584730443007,30.92593353258769,1705.1303112170774,41.29322355080888,0.5271137921066653
salary,paft_anon_headers,49,0.609,0.6354609050124245,32.903116091664636,2131.872221653051,46.17220182808105,0.41139421941677856
salary,paft_anon_headers,50,0.65,0.6115784408798711,34.61810835744222,2242.8863928494097,47.359121537982624,0.363487566056636
salary,paft_anon_headers,51,0.615,0.648605103802679,32.34978103881836,1892.6834313338527,43.504981684099725,0.47657304268676737
