dataset,variant,seed,dcr,pairwise_correlation_diff,mae,mse,rmse,r2
salary,paft_full,42,0.623,0.6212064768583433,30.38871092488607,1825.9885595045662,42.73158737403241,0.49934373095859674
salary,paft_full,43,0.557,0.6209570931735167,33.280071987457276,2022.5786393158578,44.97308794507953,0.4215786787102338
salary,paft_full,44,0.643,0.6237443338064653,31.255388536834715,1846.9273710982905,42.975892906352634,0.49331013061263607
salary,paft_full,45,0.617,0.6204441813852327,35.44994150924683,2373.281060788474,48.716332587628905,0.3492175269500859
salary,paft_full,46,0.602,0.6076658708676634,38.944204140116376,2528.146471664878,50.28067692130723,0.3109996981792964
salary,paft_full,47,0.591,0.642162096232495,33.87517840245565,2172.0067828322653,46.604793560665684,0.43272504107918375
salary,paft_full,48,0.622,0.6138607568974295,32.12278366297404,1839.6358752217088,42.89097661771889,0.4898111732485768
salary,paft_full,49,0.587,0.6279866750223709,30.31823211786906,1827.77324204617,42.75246474820101,0.4953553571660557
salary,paft_full,50,0.588,0.6180620548059609,30.99731255126953,1762.6895863885936,41.98439693967979,0.49976341089062193
salary,paft_full,51,0.598,0.6259319225845494,31.686563688964846,1866.1112887839545,43.19851026116473,0.48392164388120207
