age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
36,Private,192837,Bachelors,13,Couple,Exec-managerial,Husband,White,Male,No gains,No losses,45,US,>50K
29,State-gov,284569,Masters,14,Single,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,No gains,No losses,40,US,<=50K
41,Self-emp-not-inc,203456,Some-college,10,Couple,Sales,Husband,Black,Male,Had gains,No losses,50,Non-US,>50K
50,Federal-gov,176543,HS-grad,9,Couple,Adm-clerical,Wife,White,Female,No gains,No losses,37,US,<=50K
23,Private,189765,Assoc-voc,11,Single,Craft-repair,Not-in-family,Hispanic,Male,No gains,No losses,40,US,<=50K
48,Private,210987,Doctorate,16,Couple,Prof-specialty,Husband,White,Male,Had gains,No losses,60,US,>50K
34,Local-gov,165432,Bachelors,13,Single,Tech-support,Not-in-family,Black,Female,No gains,No losses,40,US,<=50K
60,Private,245678,HS-grad,9,Couple,Exec-managerial,Husband,White,Male,No gains,No losses,55,Non-US,>50K
27,Private,198765,Some-college,10,Single,Handlers-cleaners,Not-in-family,White,Female,No gains,No losses,30,US,<=50K
45,Self-emp-inc,234567,Bachelors,13,Couple,Exec-managerial,Husband,Asian-Pac-Islander,Male,No gains,No losses,50,US,>50K
29,Private,183456,Bachelors,13,Single,Tech-support,Not-in-family,White,Female,No gains,No losses,40,US,<=50K
42,Self-emp-not-inc,185639,Masters,14,Couple,Exec-managerial,Husband,Asian-Pac-Islander,Male,Had gains,No losses,50,Non-US,>50K
37,Private,234567,Some-college,10,Single,Sales,Not-in-family,Black,Female,No gains,No losses,45,US,<=50K
50,Federal-gov,198765,Doctorate,16,Couple,Prof-specialty,Husband,White,Male,Had gains,No losses,40,US,>50K
28,Private,156789,Assoc-voc,11,Single,Craft-repair,Not-in-family,Hispanic,Male,No gains,No losses,38,US,<=50K
55,Local-gov,145678,HS-grad,9,Couple,Adm-clerical,Wife,White,Female,No gains,No losses,40,Non-US,>50K
34,Private,234890,Bachelors,13,Single,Prof-specialty,Not-in-family,White,Male,No gains,No losses,42,US,<=50K
60,Self-emp-inc,167890,Masters,14,Couple,Exec-managerial,Husband,White,Male,Had gains,No losses,45,US,>50K
23,Private,134567,Some-college,10,Single,Handlers-cleaners,Not-in-family,Black,Female,No gains,No losses,30,US,<=50K
48,State-gov,178901,Bachelors,13,Couple,Tech-support,Husband,White,Male,No gains,No losses,40,Non-US,>50K
29, Private,198345, Bachelors,13,Single, Tech-support, Not-in-family, Asian-Pac-Islander, Female,No gains,No losses,40,US,<=50K
42, Self-emp-not-inc,234721, Masters,14,Couple, Exec-managerial, Husband, White, Male,Had gains,No losses,50,US,>50K
36, Private,123456, Some-college,10,Single, Sales, Not-in-family, Black, Female,No gains,No losses,30,Non-US,<=50K
55, Federal-gov,245678, Doctorate,16,Couple, Prof-specialty, Husband, Asian-Pac-Islander, Male,Had gains,No losses,45,US,>50K
23, State-gov,167890, Assoc-voc,11,Single, Adm-clerical, Not-in-family, White, Female,No gains,No losses,20,US,<=50K
48, Local-gov,189234, HS-grad,9,Couple, Craft-repair, Husband, White, Male,No gains,No losses,60,US,>50K
39, Private,278901, Bachelors,13,Single, Prof-specialty, Not-in-family, Black, Male,No gains,No losses,40,Non-US,<=50K
50, Self-emp-inc,312567, Masters,14,Couple, Exec-managerial, Husband, White, Male,Had gains,No losses,55,US,>50K
28, Private,234567, Some-college,10,Single, Tech-support, Not-in-family, Asian-Pac-Islander, Female,No gains,No losses,35,US,<=50K
60, Private,345678, HS-grad,9,Couple, Sales, Husband, White, Male,No gains,No losses,40,US,>50K
28,Private,209642,Bachelors,13,Single,Sales,Not-in-family,White,Female,No gains,No losses,40,US,<=50K
42,Self-emp-not-inc,284582,Masters,14,Couple,Exec-managerial,Husband,White,Male,Had gains,No losses,50,US,>50K
35,Local-gov,123456,Bachelors,13,Single,Tech-support,Not-in-family,Asian-Pac-Islander,Female,No gains,No losses,37,US,<=50K
54,Private,325478,HS-grad,9,Couple,Craft-repair,Husband,Black,Male,No gains,No losses,60,Non-US,>50K
47,Federal-gov,234567,Doctorate,16,Single,Prof-specialty,Not-in-family,White,Male,Had gains,No losses,45,US,>50K
29,Private,192837,Some-college,10,Single,Adm-clerical,Not-in-family,White,Female,No gains,No losses,30,US,<=50K
62,Self-emp-inc,284562,Bachelors,13,Couple,Exec-managerial,Husband,White,Male,Had gains,No losses,55,US,>50K
33,State-gov,348762,Assoc-voc,11,Couple,Protective-serv,Wife,Black,Female,No gains,No losses,40,US,<=50K
41,Private,219876,HS-grad,9,Single,Machine-op-inspct,Not-in-family,White,Male,No gains,No losses,40,US,<=50K
50,Federal-gov,256789,Masters,14,Couple,Prof-specialty,Husband,Asian-Pac-Islander,Male,No gains,No losses,40,US,>50K
29, Private,187456, Bachelors,13,Single, Tech-support, Not-in-family, Asian-Pac-Islander, Female,No gains,No losses,40,US,<=50K
44, Self-emp-not-inc,215646, Some-college,10,Couple, Sales, Husband, White, Male,No gains,No losses,60,US,>50K
53, Federal-gov,123456, Masters,14,Single, Prof-specialty, Not-in-family, Black, Female,No gains,No losses,45,Non-US,>50K
36, State-gov,234567, Assoc-voc,11,Couple, Adm-clerical, Wife, White, Female,No gains,No losses,40,US,<=50K
41, Private,345678, Doctorate,16,Couple, Exec-managerial, Husband, Asian-Pac-Islander, Male,Had gains,No losses,50,US,>50K
28, Local-gov,456789, HS-grad,9,Single, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,No gains,No losses,40,Non-US,<=50K
62, Self-emp-inc,567890, Bachelors,13,Couple, Prof-specialty, Husband, White, Male,Had gains,No losses,55,US,>50K
33, Private,678901, Some-college,10,Single, Other-service, Not-in-family, Black, Female,No gains,No losses,30,US,<=50K
50, Federal-gov,789012, Masters,14,Couple, Tech-support, Husband, White, Male,No gains,No losses,45,US,>50K
39, Private,890123, Bachelors,13,Couple, Sales, Wife, White, Female,No gains,No losses,40,US,<=50K
29,Private,189456,Bachelors,13,Single,Sales,Not-in-family,White,Female,No gains,No losses,38,US,<=50K
37,Self-emp-not-inc,234567,Masters,14,Couple,Exec-managerial,Husband,Asian-Pac-Islander,Male,Had gains,No losses,50,Non-US,>50K
42,Local-gov,145678,Some-college,10,Single,Tech-support,Not-in-family,Black,Female,No gains,No losses,40,US,<=50K
50,Private,178345,Doctorate,16,Couple,Prof-specialty,Husband,White,Male,Had gains,No losses,60,US,>50K
